Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-01-06,0,"Today Air Canada revealed a stunning new retro-jet on its latest undelivered Airbus A220 aircraft. The plane, registered C-GNBN, sports the Trans-Canada Air ...","Furthermore, Canadian low-cost leisure airline Air Transat, which also connects Toronto to Zagreb, considers cancelling its service on that route due to low ...","Well, Air Canada's newest A220 (with the registration code C-GNBN) will be commemorating Trans-Canada Air Lines, the predecessor to Air Canada. Seriously ...",Air Canada's chief executive and a top union official expressed confidence that Ottawa will provide an aid package for airlines after the carrier recorded its ...,Another round of layoffs at Air Canada has come with a price in New Brunswick as the airline industry awaits word of a federal aid package. Air Canada ...,-- The union representing employees who've recently received lay off notices at Air Canada's Saint John call centre said jobs could return quickly if a federal airline ...,"This takes Air Canada's total job cuts for this year up to 5,000. Do you think the Canadian government should provide direct support to the country's airlines? Let us ...","Cold, dense air has indeed flowed south like molasses from Canada. Track the three-thousand-kilometre journey below. But how did it arrive in the Prairies?",She is asking anyone who travelled on Air Canada Flight AC8302 from Montreal to Charlottetown on Feb. 16 to get tested for COVID-19 if they haven't already ...,"-- Close to 100 people at the Air Canada call centre in Saint John are among the latest to feel the sting of a COVID-19 related job loss. Prior to the pandemic, there ..."
2021-01-07,1,"Air Canada Rouge was forced to suspend operations for the second time since the pandemic began, and Air Canada canceled orders for nearly two dozen ...","The travelers also made a false declaration about their health status before boarding a flight to Canada, after having tested positive for novel coronavirus a few ...","Air Canada's Tariff (the contract between Air Canada and its passengers), states at rule 75(B)(2)(c) that Air Canada may refuse to transport a passenger when it ...","National Bank Financial lowered their target price on shares of Air Canada (AC.TO) from C$30.00 to C$26.00 and set an ""outperform"" rating on the stock in a ...",Other TraceSCAN users besides LIUNA have been Air Canada and Waywayseecappo First Nation. The Daily Commercial News will have more on this story.,"The Brazilian government on Thursday withdrew its complaint to the World Trade Organization against Canada over government subsidies to Bombardier, ...","Canadian rules for air travel will become more stringent on Feb. 22, when everyone arriving in the country by air will be required to take a COVID-19 molecular ...",Canada's antitrust watchdog has criticised the behavioural remedies laid out by the country's transport authority in its conditional clearance of Air Canada's ...,"... its achievement toward the airliner Air Canada's mentorship — and even more specifically, Calin Rovinescu's vision and leadership, along with Richard Steer, ...",The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16. Anyone who traveled on that flight who isn't tested regularly is ...
2021-01-08,0,Pre-departure testing of air travellers is a key component of the Government of Canada's efforts to protect the health and safety of Canadians. Following a ...,"TO), Air Canada (AC.TO), Russel Metals (RUS.TO), Mullen Group (MTL.TO), Cae Inc. (CAE.TO), Tfi International (TFII.TO), Canadian Pacific Railway (CP.","Some Canadians abroad plan to change their route home and cross the border by land, instead of air, to bypass Canada's pricey new hotel quarantine ...","Meanwhile, Air Canada announced it laid off 1,500 union employees due to falling revenues. Locally, we have just learned that Laurentian University is ...","Air Canada, The Toronto-Dominion Bank, Canadian Imperial Bank of Commerce, and Visa Canada Corporation entered into an agreement with Aimia Inc. for ...","Most recently, an Air Canada flight (AC8302) departed Montreal for Charlottetown on Tuesday. Since last week, outgoing and Montreal-bound domestic flights ...","Air Canada has also made deep cuts to its international and domestic routes. Ed Sims, WestJet's chief executive officer, said in a statement on Thursday the new ...","Meanwhile, Air Canada announced it laid off 1,500 union employees due to falling revenues. Locally, we have just learned that Laurentian University is ...","Air Canada, The Toronto-Dominion Bank, Canadian Imperial Bank of Commerce, and Visa Canada Corporation entered into an agreement with Aimia Inc. for ...","SA, comes as larger rivals Airbus AIR.PA and Boeing BA.N remain locked in a 16-year-old trade dispute at the WTO that has led to transatlantic tariffs. While the ..."
2021-01-11,0,"Most recently, an Air Canada flight (AC8302) departed Montreal for Charlottetown on Tuesday. Since last week, outgoing and Montreal-bound domestic flights ...","Air Canada has also made deep cuts to its international and domestic routes. Ed Sims, WestJet's chief executive officer, said in a statement on Thursday the new ...",MONTREAL - The International Air Transport Association (IATA) recognizes that the immediate focus of the Government of Canada is limiting the spread of ...,... the USWNT will take on CONCACAF rivals Canada and Reign teammate Quinn. Both games will air on FS1 and either stream or air on TUDN simultaneously.,"The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","Facedrive has signed major partnerships and agreements with both the government of Ontario and Canada's largest airline, Air Canada, to use this ...","The latest case, the Island's 115th since the pandemic began last March, was confirmed in a man in his 20s who was on Air Canada flight AC8302 from Montreal ...","“We're not trying to punish people, we're trying to keep people safe,” said Trudeau. Click to play video 'Canada's new travel restrictions at land borders come into ...","CANADA—U.S. Customs and Border Protection (CBP) officers recently made an ... in the biometric facial comparison process at air, land and sea ports of entry.","The latest round of layoffs at Air Canada announced this months are having a direct impact on the Atlantic region. As Tim Roszell reports, the industry is ..."
2021-01-12,1,"""We'll just pick it up and drive home,"" they explained. The restrictions at Canada's land borders and air borders are pretty different, but there's good reason for it ...","Apart from the general details of the Home Air Purifiers market, we ensure to include chapters which give you ... North America (the US, Canada and Mexico)","Two air travellers have been fined a combined total of $17,000 for allegedly lying ... a negative PCR COVID-19 test before boarding a flight heading to Canada.",BioCloud's Science Is up in the Air. A Canadian company's solution to detecting the coronavirus in the air leaves many important questions unanswered.,"“Medical Grade Air Disinfection Machine Market is growing at a High CAGR during the forecast period ... North America (the United States, Mexico, and Canada)","... Operate Safely with Indoor Air Quality Monitoring and Management Solution ... United States and Canada, collects critical data about a building's air quality ...","OTTAWA — The Supreme Court of Canada will look at the constitutionality of a ... natural park where families walk on weekends to get some fresh air,"" she said.","Canada requires those entering the country to isolate for 14 days. And starting Monday, air travelers who arrive in Canada will be forced to quarantine in a hotel ...","A community north of Detroit with some of Michigan's worst air pollution will see ... River in Sania, Ontario, part of an area dubbed Canada's “Chemical Valley.”.","Supply chains have been disrupted, various means of trade (including by air) have ... In that episode, global trade declined 12 per cent, while Canada's trade fell ..."
2021-01-13,0,"The Air Circulators Market report is a compilation of first-hand information, qualitative and quantitative ... North America (United States, Canada and Mexico)","... Period 2020–2027 | Acadian Ambulance Service, Air Methods Corporation ... North America (United States, Mexico, and Canada); South America (Brazil etc.) ...","When — or if — they can return to Rogers Centre this season remains up in the air. ... Canada's lone big-league club played most of its home games in Buffalo, ...","Solvay, Air Liquide, ABCR GmBR Co, Air Products, Honeywell, Shandong ... Canada, Germany, UK, France, Spain, Italy, China, Japan, India, South Korea, ...","Coronavirus vaccine tracker: How many people in Canada have received shots? ... will air on CNN International's ""Quest Means Business"" show at 3:00 p.m. ET.",“I also urge that those kept caged in Canada's colonial federal penitentiaries be ... not being allout outside for a bit of fresh air during the day while on lockdown.,"... at the end of August of production in Charleston on eight copies of Air Canada, Singapore Airlines and United Airlines, of “non-compliance” on the assembly of ...","Mel is joined by Canada's Chief Public Health Officer, Dr. Theresa Tam to talk about the possibility of a third wave due to the variants spreading across Canada, ...","... amid an unprecedented global slump in air travel because of the pandemic, but expects to ... Canada is poised to receive millions of vaccine does this spring.","The mandated requirements (stemming from the loss of both Air France Flight ... hiring for a number of roles across Canada in Kelowna, Victoria, and Ottawa."
2021-01-14,1,"Shares of Air Canada have dropped nearly 50% over the past year as of early afternoon trading on February 18. However, the stock has increased 3.4% in 2021 ...","The loan facility will now terminate at the earliest date between June 30, 2021, and the closing of the arrangement with Air Canada (the ""Arrangement"").",Featherweight Charles (Air) Jourdain (10-3-1) faces Steve (Mean Machine) Garcia (11-4-0) while light-heavyweight Misha Cirkunov (15-5-0) takes on Ryan ...,"... leaped to their feet, thrust their arms in the air and cheered in both triumph and relief on receiving confirmation that the six-wheeled Perseverance had touched ...",World · Canada. Local. Politics · Money · Health · Entertainment · Lifestyle · Watch · Perspectives · Sports · Commentary · Contests · Podcasts. Electricity is in the ...,"Air Canada pulled its direct flight to Toronto in January, and with this news from WestJet, Avery fears the 80 per cent figure was overly optimistic. ""Now it appears ...","In addition to the commercial showcase, in the four days that the forum lasts Academic spaces related to trends in sustainable tourism, cultural diversity and air ...","Loblaw reported that two of its Real Canadian Superstore locations had staff ... Air Canada Flight 114, Vancouver to Toronto;; February 12, Air Canada/Jazz ...","Last month, Ford said it would comply with an earlier NHTSA request to recall three million vehicles with potentially defective driver-side Takata air bags and would ...","Canada looked shaky, their goalkeeper Kailen Sheridan clearing a ball directly into Carli Lloyd's legs, then Desiree ... The game will air live on FS1 and TUDN."
2021-01-15,0,11 a.m. – Canada fines two air passengers for false COVID-19 tests. Canada has fined two passengers for presenting a false or misleading COVID-19 test ...,"The report provides an exhaustive calculation of the Turbine Air Filtration ... North America (United States, Mexico, and Canada); South America (Brazil etc.) ...",Deutsche Bahn · DHL · FedEx · UPS · Agility · Air Canada Cargo · Avinex Ukr · Biocair International ...,"Air Canada on Thursday revealed a new special retro livery on one of its new Airbus A220 aircraft. The plane, registered as C-GNBN, features the livery of ...",The announcement reiterated that non-essential travellers arriving in Canada by land and by air will be subject to COVID-19 testing upon arriving in Canada ...,"Snow is expected to pick up over parts of Atlantic Canada later Friday as a ... On the one hand, there will be more than enough Arctic air still in the mix to ensure ...","Seafood processing facilities in Cape Breton are investing in air cleaning ... Walsh, president of Canadian distributor PFS Health Solutions, based in St. John's.","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","Air Cote d'Ivoire now has a fleet of ten aircraft, including three A319s and three A320s, serving 25 domestic and regional destinations in West and Central Africa.","... Players – Amcor , Hayssen Flexible Systems , Air Products and Chemicals , Robert Reiser , Dansensor ... North America (the US, Canada and Mexico)"
2021-01-18,1,"Air Canada has also laid-off around 1,500 more employees since the travel ban was announced, including 100 call center workers. “Workers in this sector are ...","... Panalpina, Nippon Express, GEODIS, VersaCold, Agility, DSV, Sinotrans, Kerry Logistics, SF Express, CEVA, CH Robinson, Air Canada Cargo and others.",European Regulators Refuse To Give Air Canada The Go-Ahead To Purchase Transat Despite Canadian Government Approval. Published on Feb 19 2021 1:33 ...,Best Buy Canada's weekly sale includes a rare deal on this Dyson Hot+Cool fan. Yahoo Lifestyle Canada is committed to finding you the best products at the best ...,"... mobile-powered solutions such as the Government of Canada's COVID Alert ... customers such as LiUNA and Air Canada, SMEs, First Nations communities, ...","For existing structures, Kostopoulos says, we need innovative solutions. To that end, he recently became the exclusive Canadian distributor of patented ...","While air crews have had to get tested frequently, they've been exempt from the ... Unfortunately Cathay Pacific recently closed all of its US and Canada flight ...",B.C. COVID-19 coverage · Feb. 3: Air Canada/Jazz flight 8550 from Vancouver to Regina (rows 16 to 22) · Feb. 9: WestJet flight 3110 from Kelowna to Calgary ( ...,"Canadian peer Air Canada turned the aircraft out on flights from Toronto to Halifax, Montreal, Ottawa, Edmonton and Winnipeg, beginning on 1 February. The ...","Air guns use compressed gas to propel pellets in contrast to firearms, which ignite a propellant to fire a bullet or cartridge. Cassy Premack — who runs the KKS ..."
2021-01-19,1,"Canadian peer Air Canada turned the aircraft out on flights from Toronto to Halifax, Montreal, Ottawa, Edmonton and Winnipeg, beginning on 1 February. The ...","Air guns use compressed gas to propel pellets in contrast to firearms, which ignite a propellant to fire a bullet or cartridge. Cassy Premack — who runs the KKS ...","10am - New York City - United Airlines, Air Canada, Lufthansa, Swiss International Airlines, Austrian, Delta Air Lines, Air France, KLM - Royal Dutch Airlines, ...","Shovelling is a way of life in Canada, but is there a RIGHT way to do it? ... The $190-million acquisition by Air Canada that was approved by the federal ...","Nike has a sprint (Air Zoom Viperfly), mid (Air Zoom Victory) and long-distance (Dragonfly) ... (The Nike spikes are sold out, and most U.S. don't ship to Canada.) ...","Latest news for Feb. 1. Ramp up Canadian vaccine manufacturing, says COVID-19 task force health adviser. Air Canada, Rogers and Suncor part of consortium ...","19, 2021 (GLOBE NEWSWIRE) -- The science is clear: the virus is in the air and ... line with that of the Public Health Agency of Canada (PHAC), at a minimum.","By Sea, Air and Land ~ Enhanced Restrictions in place at Canada's Borders to Stave off COVID and its Variants. By. Lynne Brown. -. February 19, 2021. 0 ...",Passengers in rows six to 12 on Air Canada Jazz flight 8050 from Victoria to Vancouver Feb. 12 were exposed to a case of COVID-19. (THE CANADIAN ...,"TO), Finning International (FII.TO), Ats Automation (ATA.TO), Air Canada (AC.TO), WSP Global (WSP.TO) and Canadian Pacific Railway (CP.TO) are gaining 1.8 ..."
